mode,depth,turn,prompt_tokens,compressed_tokens,scores_source,prefill_tps,gen_tps,wall_s,ttft_ms,drafter_ms,compress_ms,target_prefill_ms,first_decode_ms,canonical_tokens,sync_tokens,suffix_tokens,effective_prompt_tps,target_prefill_tps,drafter_tps,ctx_session_tokens,ctx_limit,ctx_remaining,transcript_tokens,validate_max_abs,validate_rms
baseline,,0,5932,,,173.07,15.17,53.992461833011475,34660.8,0.0,0.0,34274.36,383.9,5932,5932,5932,171.14,173.07,0.0,6188,16384,10196,6189,,
baseline,,1,6222,,,29.62,15.45,17.71755962500174,1235.14,0.0,0.0,1147.78,87.19,6222,6222,34,5037.48,29.62,0.0,6478,16384,9906,6479,,
baseline,,2,6512,,,27.43,15.44,17.819072250000318,1318.85,0.0,0.0,1239.58,79.07,6512,6512,34,4937.65,27.43,0.0,6768,16384,9616,6769,,
baseline,,3,6802,,,26.22,15.45,17.8663664170017,1374.79,0.0,0.0,1296.95,77.63,6802,6802,34,4947.66,26.22,0.0,7058,16384,9326,7059,,
baseline,,4,7092,,,26.04,15.43,17.89643175000674,1379.58,0.0,0.0,1305.56,73.85,7092,7092,34,5140.7,26.04,0.0,7348,16384,9036,7349,,
baseline,,5,7382,,,25.98,15.42,17.915729875006946,1386.04,0.0,0.0,1308.87,76.99,7382,7382,34,5325.98,25.98,0.0,7638,16384,8746,7639,,
drafter,,0,5932,2000,drafter-live-local,162.58,16.9,35.25047408399405,14227.38,1543.32,0.02,12302.01,378.26,5932,2000,2000,416.94,162.58,3843.65,2256,16384,14128,6189,,
drafter,,1,6222,2062,drafter-live-local,157.26,16.9,29.747538583993446,14976.61,1483.39,0.02,13112.07,375.47,6222,2062,2062,415.45,157.26,4194.44,2318,16384,14066,6479,,
drafter,,2,6512,2160,drafter-live-local,159.56,16.89,30.29213337501278,15508.13,1593.73,0.03,13537.45,372.38,6512,2160,2160,419.91,159.56,4086.02,2416,16384,13968,6769,,
drafter,,3,6802,2226,drafter-live-local,160.11,16.88,30.765710624997155,15969.59,1688.37,0.02,13902.78,372.44,6802,2226,2226,425.93,160.11,4028.75,2482,16384,13902,7059,,
drafter,,4,7092,2324,drafter-live-local,162.42,16.86,31.302012082989677,16484.75,1796.42,0.02,14308.6,372.92,7092,2324,2324,430.22,162.42,3947.86,2580,16384,13804,7349,,
drafter,,5,7382,2390,drafter-live-local,163.17,16.83,31.777405291999457,16941.21,1909.74,0.02,14647.56,379.89,7382,2390,2390,435.74,163.17,3865.44,2646,16384,13738,7639,,
