mode,depth,turn,prompt_tokens,compressed_tokens,scores_source,prefill_tps,gen_tps,wall_s,ttft_ms,drafter_ms,compress_ms,target_prefill_ms,first_decode_ms,canonical_tokens,sync_tokens,suffix_tokens,effective_prompt_tps,target_prefill_tps,drafter_tps,ctx_session_tokens,ctx_limit,ctx_remaining,transcript_tokens,validate_max_abs,validate_rms
baseline,,0,5932,,,172.74,15.33,67.05523395800265,34724.86,0.0,0.0,34341.28,380.82,5932,5932,5932,170.83,172.74,0.0,6389,32768,26379,6390,,
baseline,,1,6432,,,34.24,15.45,67.5547270829993,1330.24,0.0,0.0,1255.89,74.13,6432,6432,43,4835.22,34.24,0.0,7456,32768,25312,7457,,
baseline,,2,7499,,,31.15,15.41,67.84037279200857,1461.68,0.0,0.0,1380.54,81.0,7499,7499,43,5130.38,31.15,0.0,8523,32768,24245,8524,,
baseline,,3,8566,,,30.5,15.33,68.20279375000973,1492.15,0.0,0.0,1409.91,82.03,8566,8566,43,5740.71,30.5,0.0,9590,32768,23178,9591,,
baseline,,4,9633,,,29.99,15.29,68.41558683299809,1509.74,0.0,0.0,1433.61,75.94,9633,9633,43,6380.56,29.99,0.0,10657,32768,22111,10658,,
baseline,,5,10700,,,30.34,15.26,68.53739204199519,1498.82,0.0,0.0,1417.42,81.16,10700,10700,43,7138.94,30.34,0.0,11724,32768,21044,11725,,
baseline,,6,11767,,,29.45,15.21,68.77421399999002,1539.17,0.0,0.0,1459.94,79.02,11767,11767,43,7645.04,29.45,0.0,12791,32768,19977,12792,,
baseline,,7,12834,,,29.72,15.16,69.00988866700209,1524.98,0.0,0.0,1446.73,78.03,12834,12834,43,8415.84,29.72,0.0,13858,32768,18910,13859,,
baseline,,8,13901,,,29.3,15.13,69.16258637499413,1549.94,0.0,0.0,1467.66,82.1,13901,13901,43,8968.72,29.3,0.0,14925,32768,17843,14926,,
baseline,,9,14968,,,29.39,15.09,69.3422337499942,1552.09,0.0,0.0,1463.03,88.79,14968,14968,43,9643.76,29.39,0.0,15992,32768,16776,15993,,
baseline,,10,16035,,,29.93,15.03,69.55772979199537,1519.05,0.0,0.0,1436.56,82.36,16035,16035,43,10555.95,29.93,0.0,17059,32768,15709,17060,,
baseline,,11,17102,,,29.6,14.99,69.74598562500614,1540.11,0.0,0.0,1452.91,86.96,17102,17102,43,11104.43,29.6,0.0,18126,32768,14642,18127,,
baseline,,12,18169,,,29.27,14.95,69.94702799999504,1547.71,0.0,0.0,1468.89,78.62,18169,18169,43,11739.24,29.27,0.0,19193,32768,13575,19194,,
baseline,,13,19236,,,29.75,14.9,70.16393229100504,1527.48,0.0,0.0,1445.42,81.86,19236,19236,43,12593.26,29.75,0.0,20260,32768,12508,20261,,
baseline,,14,20303,,,29.54,14.86,70.38979704100348,1548.18,0.0,0.0,1455.73,92.22,20303,20303,43,13114.13,29.54,0.0,21327,32768,11441,21328,,
baseline,,15,21370,,,29.08,14.8,70.65070800000103,1559.56,0.0,0.0,1478.78,80.49,21370,21370,43,13702.6,29.08,0.0,22394,32768,10374,22395,,
baseline,,16,22437,,,29.2,14.78,70.76157737500034,1552.22,0.0,0.0,1472.79,79.14,22437,22437,43,14454.76,29.2,0.0,23461,32768,9307,23462,,
baseline,,17,23504,,,28.51,14.73,71.01302574999863,1585.05,0.0,0.0,1508.05,76.69,23504,23504,43,14828.58,28.51,0.0,24528,32768,8240,24529,,
baseline,,18,24571,,,28.16,14.69,71.219450375007,1620.83,0.0,0.0,1526.74,93.88,24571,24571,43,15159.5,28.16,0.0,25595,32768,7173,25596,,
