mode,depth,turn,prompt_tokens,compressed_tokens,scores_source,prefill_tps,gen_tps,wall_s,ttft_ms,drafter_ms,compress_ms,target_prefill_ms,first_decode_ms,canonical_tokens,sync_tokens,suffix_tokens,effective_prompt_tps,target_prefill_tps,drafter_tps,ctx_session_tokens,ctx_limit,ctx_remaining,transcript_tokens,generated_tokens,validate_max_abs,validate_rms
baseline,,0,5932,,,173.08,15.32,66.91164625000965,34655.32,0.0,0.0,34274.08,378.11,5932,5932,5932,171.17,173.08,0.0,6389,32768,26379,6390,457,,
baseline,,1,6432,,,192.65,15.37,100.03277154199895,33745.83,0.0,0.0,33387.15,358.38,6432,6432,6432,190.6,192.65,0.0,7456,32768,25312,7457,1024,,
baseline,,2,7499,,,191.21,15.32,106.07080266698904,39589.85,0.0,0.0,39218.91,370.74,7499,7499,7499,189.42,191.21,0.0,8523,32768,24245,8524,1024,,
baseline,,3,8566,,,206.88,15.23,108.64267854100035,41774.84,0.0,0.0,41405.37,369.2,8566,8566,8566,205.05,206.88,0.0,9590,32768,23178,9591,1024,,
baseline,,4,9633,,,214.33,15.2,112.3081783749949,45315.53,0.0,0.0,44944.54,370.84,9633,9633,9633,212.58,214.33,0.0,10657,32768,22111,10658,1024,,
baseline,,5,10700,,,221.5,15.16,115.85108224999567,48682.0,0.0,0.0,48307.87,373.86,10700,10700,10700,219.79,221.5,0.0,11724,32768,21044,11725,1024,,
baseline,,6,11767,,,222.9,15.13,120.4979991250002,53158.88,0.0,0.0,52791.54,367.1,11767,11767,11767,221.36,222.9,0.0,12791,32768,19977,12792,1024,,
baseline,,7,12834,,,227.45,15.05,124.46323341599782,56809.06,0.0,0.0,56426.47,382.39,12834,12834,12834,225.91,227.45,0.0,13858,32768,18910,13859,1024,,
baseline,,8,13901,,,230.44,15.04,128.43048158299644,60682.48,0.0,0.0,60323.87,358.44,13901,13901,13901,229.08,230.44,0.0,14925,32768,17843,14926,1024,,
baseline,,9,14968,,,234.99,14.99,131.99511091699242,64063.72,0.0,0.0,63697.31,366.2,14968,14968,14968,233.64,234.99,0.0,15992,32768,16776,15993,1024,,
baseline,,10,16035,,,234.7,14.94,136.86074658299913,68693.16,0.0,0.0,68321.0,371.9,16035,16035,16035,233.43,234.7,0.0,17059,32768,15709,17060,1024,,
baseline,,11,17102,,,237.87,14.91,140.56914641699404,72258.26,0.0,0.0,71895.42,362.63,17102,17102,17102,236.68,237.87,0.0,18126,32768,14642,18127,1024,,
baseline,,12,18169,,,238.7,14.86,145.03270970800077,76469.27,0.0,0.0,76115.83,353.27,18169,18169,18169,237.6,238.7,0.0,19193,32768,13575,19194,1024,,
