mode,depth,turn,prompt_tokens,compressed_tokens,scores_source,prefill_tps,gen_tps,wall_s,ttft_ms,drafter_ms,compress_ms,target_prefill_ms,first_decode_ms,canonical_tokens,sync_tokens,suffix_tokens,effective_prompt_tps,target_prefill_tps,drafter_tps,ctx_session_tokens,ctx_limit,ctx_remaining,transcript_tokens,generated_tokens,validate_max_abs,validate_rms
baseline,,0,5932,,,173.05,15.32,66.95915558400156,34653.48,0.0,0.0,34278.82,371.76,5932,5932,5932,171.18,173.05,0.0,6389,32768,26379,6390,457,,
baseline,,1,6432,,,34.29,15.45,67.55048591700324,1331.31,0.0,0.0,1254.14,76.98,6432,6432,43,4831.34,34.29,0.0,7456,32768,25312,7457,1024,,
baseline,,2,7499,,,31.24,15.4,67.85578600000008,1454.3,0.0,0.0,1376.28,77.89,7499,7499,43,5156.43,31.24,0.0,8523,32768,24245,8524,1024,,
baseline,,3,8566,,,30.76,15.33,68.21059712499846,1473.4,0.0,0.0,1397.7,75.42,8566,8566,43,5813.78,30.76,0.0,9590,32768,23178,9591,1024,,
baseline,,4,9633,,,30.14,15.29,68.38383312500082,1505.27,0.0,0.0,1426.51,78.52,9633,9633,43,6399.52,30.14,0.0,10657,32768,22111,10658,1024,,
baseline,,5,10700,,,29.58,15.24,68.63452987500932,1534.1,0.0,0.0,1453.8,80.09,10700,10700,43,6974.79,29.58,0.0,11724,32768,21044,11725,1024,,
baseline,,6,11767,,,29.84,15.2,68.8235570830002,1540.42,0.0,0.0,1440.88,99.31,11767,11767,43,7638.8,29.84,0.0,12791,32768,19977,12792,1024,,
baseline,,7,12834,,,29.42,15.14,69.09780620899983,1562.11,0.0,0.0,1461.67,100.14,12834,12834,43,8215.79,29.42,0.0,13858,32768,18910,13859,1024,,
baseline,,8,13901,,,29.48,15.11,69.21449608300463,1536.38,0.0,0.0,1458.46,77.71,13901,13901,43,9047.86,29.48,0.0,14925,32768,17843,14926,1024,,
baseline,,9,14968,,,29.68,15.06,69.44574983300117,1523.95,0.0,0.0,1448.89,74.87,14968,14968,43,9821.84,29.68,0.0,15992,32768,16776,15993,1024,,
baseline,,10,16035,,,29.83,15.02,69.61176066601183,1519.25,0.0,0.0,1441.68,77.3,16035,16035,43,10554.53,29.83,0.0,17059,32768,15709,17060,1024,,
baseline,,11,17102,,,29.54,14.99,69.75233570899582,1535.79,0.0,0.0,1455.48,80.16,17102,17102,43,11135.66,29.54,0.0,18126,32768,14642,18127,1024,,
baseline,,12,18169,,,29.62,14.95,69.95750312499877,1532.11,0.0,0.0,1451.83,80.1,18169,18169,43,11858.8,29.62,0.0,19193,32768,13575,19194,1024,,
baseline,,13,19236,,,30.04,14.9,70.15352620900376,1513.32,0.0,0.0,1431.55,81.56,19236,19236,43,12711.12,30.04,0.0,20260,32768,12508,20261,1024,,
baseline,,14,20303,,,29.64,14.85,70.39426025000284,1527.13,0.0,0.0,1450.52,76.42,20303,20303,43,13294.91,29.64,0.0,21327,32768,11441,21328,1024,,
baseline,,15,21370,,,29.22,14.81,70.59459270798834,1559.13,0.0,0.0,1471.53,87.37,21370,21370,43,13706.34,29.22,0.0,22394,32768,10374,22395,1024,,
baseline,,16,22437,,,29.41,14.78,70.74140670799534,1542.41,0.0,0.0,1462.25,79.94,22437,22437,43,14546.68,29.41,0.0,23461,32768,9307,23462,1024,,
baseline,,17,23504,,,28.41,14.75,70.92626033299894,1591.81,0.0,0.0,1513.69,77.91,23504,23504,43,14765.59,28.41,0.0,24528,32768,8240,24529,1024,,
baseline,,18,24571,,,29.16,14.7,71.11757408300764,1575.76,0.0,0.0,1474.47,101.08,24571,24571,43,15593.15,29.16,0.0,25595,32768,7173,25596,1024,,
baseline,,19,25638,,,28.94,14.64,71.44445175000874,1578.28,0.0,0.0,1485.71,92.25,25638,25638,43,16244.28,28.94,0.0,26662,32768,6106,26663,1024,,
baseline,,20,26705,,,28.96,14.6,71.61787791700044,1577.28,0.0,0.0,1485.02,92.0,26705,26705,43,16931.09,28.96,0.0,27729,32768,5039,27730,1024,,
baseline,,21,27772,,,28.63,14.57,71.76947587500035,1599.78,0.0,0.0,1501.69,97.78,27772,27772,43,17359.88,28.63,0.0,28796,32768,3972,28797,1024,,
baseline,,22,28839,,,28.63,14.52,72.04059754199989,1583.04,0.0,0.0,1502.08,80.72,28839,28839,43,18217.48,28.63,0.0,29863,32768,2905,29864,1024,,
baseline,,23,29906,,,29.1,14.48,72.20050995799829,1574.57,0.0,0.0,1477.73,96.67,29906,29906,43,18993.15,29.1,0.0,30930,32768,1838,30931,1024,,
